Team,Number,Name,First,Last,Position,Ht,Wt,Age,Bday,EXP,College,Salary,Birth City,Birth State,Race,HS,HS City,HS State,Pro Bowler,Champ,# of teams,Heisman
Bills,97,"Bryant, Corbin",Corbin,Bryant,DT,76,300,26,1/4/88,2,Northwestern,450000,"Chicago, IL",Illinois,Black,Morgan Park,"Chicago, IL",Illinois,0,NO,3,NO
Colts,17,"Whalen, Griff",Griff,Whalen,WR,71,190,24,3/1/90,3,Stanford,450000,"Detroit, MI",Michigan,White,Southview,"Sylvania, OH",Ohio,0,NO,1,NO
Panthers,64,"Folkerts, Brian",Brian,Folkerts,C,76,310,24,1/30/90,2,Washburn,450000,"Florissant, MO",Missouri,White,Hazelwood Central,"Florissant, MO",Missouri,0,NO,2,NO
Rams,34,"Reynolds, Chase",Chase,Reynolds,RB,72,205,26,10/22/87,2,Montana,450000,"Drummond, MT",Montana,White,Drummond,"Drummond, MT",Montana,0,NO,2,NO
Colts,71,"Nixon, Xavier",Xavier,Nixon,T,78,330,24,9/17/90,2,Florida,450000,"Fayetteville, NC",North Carolina,Black,Britt,"Fayetteville, NC",North Carolina,0,NO,2,NO
Chargers,47,"Windt, Mike",Mike,Windt,LS,73,237,28,5/29/86,5,Cincinnati,450000,"Cincinnati, OH",Ohio,White,Elder,"Cincinnati, OH",Ohio,0,NO,2,NO
Buccaneers,49,"McDougald, Bradley",Bradley,McDougald,S,73,209,23,11/15/90,2,Kansas,450000,"Dublin, OH",Ohio,Black,Scioto,"Columbus, OH",Ohio,0,NO,2,NO
Falcons,52,"Stupar, Nate",Nate,Stupar,LB,74,240,26,3/14/88,2,Penn State,450000,"State College, PA",Pennsylvania,White,"Area (State College, PA)","State College, PA",Pennsylvania,0,NO,5,NO
Browns,5,"Lanning, Spencer",Spencer,Lanning,P,71,200,26,5/21/88,2,South Carolina,450000,"Rock Hill, SC",South Carolina,White,York Comprehensive,"York, SC",South Carolina,0,NO,4,NO
Colts,57,"McNary, Josh",Josh,McNary,LB,72,251,26,4/10/88,1,Army,450000,"Houston, TX",Texas,Black,Clear Lake,"Houston, TX",Texas,0,NO,1,NO
Rams,7,"Keenum, Case",Case,Keenum,QB,73,205,26,2/17/88,3,Houston,450000,"Brownwood, TX",Texas,White,"Wylie (Abilene, TX)","Abilene, TX",Texas,0,NO,2,NO
Dolphins,31,"Thomas, Michael",Michael,Thomas,S,71,201,25,3/17/89,2,Stanford,450000,"Houston, TX",Texas,Black,Nimitz,"Houston, TX",Texas,0,NO,2,NO
Chiefs,88,"Hemingway, Junior",Junior,Hemingway,WR,73,225,25,12/27/88,1,Michigan,455000,"Conway, SC",South Carolina,Black,"Conway (Conway, SC)","Conway, SC",South Carolina,0,NO,1,NO
Raiders,7,"King, Marquette",Marquette,King,P,72,192,25,10/26/88,3,Fort Valley State,455333,"Macon, GA",Georgia,Black,Rutland,"Macon, GA",Georgia,0,NO,1,NO
Chiefs,24,"McCray, Kelcie",Kelcie,McCray,S,73,205,26,9/21/88,3,Arkansas State,458333,"Columbus, GA",Georgia,Black,Hardaway,"Columbus, GA",Georgia,0,NO,3,NO
Cardinals,85,"Fells, Darren",Darren,Fells,TE,79,281,28,4/22/86,1,California-Irvine,465000,"Fullerton, CA",California,Black,Fullerton,"Fullerton, CA",California,0,NO,1,NO
Seahawks,48,"Helfet, Cooper",Cooper,Helfet,TE,76,240,25,6/2/89,3,Duke,465000,"Kentfield, CA",California,White,Redwood,"Larkspur, CA",California,0,1,1,NO
Saints,58,"Knox, Kyle",Kyle,Knox,LB,73,220,25,3/10/89,1,Fresno State,465000,"Los Angeles, CA",California,Black,St. Bernard,"Los Angeles, CA",California,0,NO,3,NO
Chargers,43,"Oliver, Branden",Branden,Oliver,RB,68,208,23,5/7/91,0,Buffalo,465000,"Miami, FL",Florida,Black,Miami Southridge Senior,"Miami, FL",Florida,0,NO,1,NO
Cowboys,6,"Jones, Chris",Chris,Jones,P,72,197,25,7/21/89,3,Carson-Newman,465000,"Rome, GA",Georgia,White,Coosa,"Rome, GA",Georgia,0,NO,1,NO
Texans,70,"Adams, Jeff",Jeff,Adams,T,79,305,25,9/6/89,1,Columbia,465000,"Western Spring, IL",Illinois,White,Lyons Township,"La Grange, IL",Illinois,0,NO,1,NO
Lions,10,"Fuller, Corey",Corey,Fuller,WR,74,200,24,6/28/90,1,Virginia Tech,465000,"Baltimore, MD",Maryland,Black,"Woodlawn (Baltimore, MD)","Baltimore, MD",Maryland,0,NO,1,NO
Vikings,19,"Thielen, Adam",Adam,Thielen,WR,74,195,24,8/22/90,1,Minnesota State,465000,"Detroit Lakes, MN",Minnesota,White,Detroit Lakes,"Detroit Lakes, MN",Minnesota,0,NO,1,NO
Buccaneers,7,"Murray, Patrick",Patrick,Murray,K,67,182,23,6/22/91,1,Fordham,465000,"Mahwah, NJ",New Jersey,White,Don Bosco Prep,"Ramsey, NJ",New Jersey,0,NO,1,NO
Saints,35,"Johnson, Austin",Austin,Johnson,FB,74,240,25,6/16/89,1,Tennessee,465000,"Hickory, NC",North Carolina,White,Hickory,"Hickory, NC",North Carolina,0,NO,1,NO
Redskins,5,"Way, Tress",Tress,Way,P,73,215,24,4/18/90,1,Oklahoma,465000,"Tulsa, OK",Oklahoma,White,"Union (Tulsa, OK)","Tulsa, OK",Oklahoma,0,NO,2,NO
Bengals,60,"Johnson, T.J.",T.J.,Johnson,G,76,310,24,7/17/90,1,South Carolina,465000,"Aynor, SC",South Carolina,White,Aynor,"Aynor, SC",South Carolina,0,NO,1,NO
Bears,30,"Hurst, Demontre",Demontre,Hurst,CB,70,183,23,3/24/91,1,Oklahoma,465000,"Lancaster, TX",Texas,Black,Lancaster,"Lancaster, TX",Texas,0,NO,1,NO
Patriots,65,"Devey, Jordan",Jordan,Devey,T,78,317,26,1/11/88,1,Memphis,465000,"American Fork, UT",Utah,White,American Fork,"American Fork, UT",Utah,0,NO,2,NO
Seahawks,28,"Burley, Marcus",Marcus,Burley,CB,71,185,24,7/16/90,2,Delaware,465000,"Richmond, VA",Virginia,Black,Highland Springs,"Highland Springs, VA",Virginia,0,NO,5,NO
Chargers,15,"Inman, Dontrelle",Dontrelle,Inman,WR,75,205,25,1/31/89,1,Virginia,472500,"Charleston, SC",South Carolina,Black,Batesburg-Leesville,"Columbia, SC",South Carolina,0,NO,3,NO
Cowboys,75,"Weems, Darrion",Darrion,Weems,T,77,320,26,9/4/88,2,Oregon,480000,"Winnetka, CA",California,Black,"Taft (Los Angeles, CA)","Los Angeles, CA",California,0,NO,5,NO
Redskins,2,"Forbath, Kai",Kai,Forbath,K,71,197,27,9/2/87,3,UCLA,480000,"Santa Monica, CA",California,White,"Notre Dame (Sherman Oaks, CA)","Sherman Oaks, CA",California,0,NO,3,NO
Colts,45,"Overton, Matt",Matt,Overton,LS,73,241,29,7/6/85,3,Western Washington,480000,"San Leandro, CA",California,White,Tracy,"Tracy, CA",California,1,NO,2,NO
Bengals,59,"Lamur, Emmanuel",Emmanuel,Lamur,LB,76,240,25,6/8/89,3,Kansas State,480000,"Delray Beach, FL",Florida,Black,The King's Academy,"West Palm Beach, FL",Florida,0,NO,1,NO
Colts,49,"Harvey, Mario",Mario,Harvey,FB,72,264,27,8/10/87,3,Marshall,480000,"Forsyth, GA",Georgia,Black,Persons,"Forsyth, GA",Georgia,0,NO,2,NO
Buccaneers,65,"Johnson, Rishaw",Rishaw,Johnson,G,75,313,25,2/23/89,2,California (PA),480000,"New Orleans, LA",Louisiana,Black,Southern Laboratory School,"Baton Rouge, LA",Louisiana,0,NO,3,NO
Redskins,68,"Compton, Tom",Tom,Compton,T,77,308,25,5/10/89,2,South Dakota,480000,"Rosemount, MN",Minnesota,White,Rosemount,"Rosemount, MN",Minnesota,0,NO,1,NO
Browns,67,"Kitchen, Ishmaa'ily",Iily,Kitchen,NT,73,330,26,8/24/88,3,Kent State,480000,"Youngstown, OH",Ohio,Black,Mooney,"Youngstown, OH",Ohio,0,NO,2,NO
Colts,36,"Herron, Dan",Dan,Herron,RB,70,212,25,3/21/89,2,Ohio State,480000,"Warren, OH",Ohio,Black,Harding,"Warren, OH",Ohio,0,NO,2,NO
Steelers,46,"Johnson, Will",Will,Johnson,FB,74,238,25,11/14/88,3,West Virginia,480000,"Dayton, OH",Ohio,Black,Centerville,"Centerville, OH",Ohio,0,NO,1,NO
Colts,53,"Shipley, A.Q.",A.Q.,Shipley,C,73,307,28,5/22/86,3,Penn State,480000,"Beaver, PA",Pennsylvania,White,"Area (Moon, PA)","Moon, PA",Pennsylvania,0,NO,4,NO
Packers,11,"Boykin, Jarrett",Jarrett,Boykin,WR,74,218,24,11/4/89,3,Virginia Tech,480000,"Chattanooga, TN",Tennessee,Black,Butler,"Matthews, NC",North Carolina,0,NO,2,NO
Ravens,9,"Tucker, Justin",Justin,Tucker,K,72,189,24,11/21/89,3,Texas,480000,"Houston, TX",Texas,White,"Westlake (Austin, TX)","Austin, TX",Texas,1,1,1,NO
Patriots,96,"Siliga, Sealver",Sealver,Siliga,DT,74,325,24,4/26/90,3,Utah,480000,"West Jordan, UT",Utah,Hispanic,Copper Hils,"Copper Hills, UT",Utah,0,NO,4,NO
Seahawks,15,"Kearse, Jermaine",Jermaine,Kearse,WR,73,209,24,2/6/90,3,Washington,480000,"Tacoma, WA",Washington,Black,Lakes,"Tacoma, WA",Washington,0,1,1,NO
Bengals,55,"Burfict, Vontaze",Vontaze,Burfict,LB,73,248,24,9/24/90,3,Arizona State,480333,"Los Angeles, CA",California,Black,"Centennial (Corona, CA)","Corona, CA",California,1,NO,1,NO
Browns,39,"Gipson, Tashaun",Tashaun,Gipson,S,71,205,24,8/7/90,3,Wyoming,480500,"San Bernardino, CA",California,Black,Kimball,"Dallas, TX",Texas,0,NO,1,NO
Cowboys,25,"Dunbar, Lance",Lance,Dunbar,RB,68,188,24,1/25/90,3,North Texas,480500,"New Orleans, LA",Louisiana,Black,Haltom,"Haltom, TX",Texas,0,NO,1,NO
Cowboys,11,"Beasley, Cole",Cole,Beasley,WR,68,180,25,4/26/89,3,Southern Methodist,480500,"Houston, TX",Texas,White,Little Elm,"Little Elm, TX",Texas,0,NO,1,NO
Browns,24,"Bademosi, Johnson",Johnson,Bademosi,S,72,200,24,7/23/90,3,Stanford,480833,"Washington, DC",DC,Black,Gonzaga College High School,"Washington, D.C.",District of Columbia,0,NO,1,NO
Falcons,47,"Harris, Josh",Josh,Harris,LS,73,224,25,4/27/89,3,Auburn,480833,"Carrollton, GA",Georgia,White,Carrollton,"Carrollton, GA",Georgia,0,NO,1,NO
Rams,46,"Harkey, Cory",Cory,Harkey,TE,76,259,24,6/17/90,3,UCLA,480833,"Chicago, IL",Illinois,Black,Chino Hills,"Chino Hills, CA",California,0,NO,1,NO
Saints,75,"Walker, Tyrunn",Tyrunn,Walker,DE,75,294,24,3/18/90,3,Tulsa,481000,"New Iberia, LA",Louisiana,Black,Westgate,"New Ibera, LA",Louisiana,0,NO,1,NO
Vikings,79,"Harris, Mike",Mike,Harris,T,77,318,25,1/5/89,3,UCLA,481167,"Miami, FL",Florida,Black,"South (Miami, FL)","Miami, FL",Florida,0,NO,1,NO
Broncos,46,"Brewer, Aaron",Aaron,Brewer,LS,77,230,24,7/5/90,3,San Diego State,481333,"Orange, CA",California,White,Troy,"Fullerton, CA",California,0,NO,1,NO
Ravens,83,"Thompson, Deonte",Deonte,Thompson,WR,72,203,25,2/14/89,3,Florida,481333,"Belle Glade, FL",Florida,Black,Glades Central,"Belle Glade, FL",Florida,0,1,1,NO
Rams,23,"McLeod, Rodney",Rodney,McLeod,S,70,195,24,6/23/90,3,Virginia,481333,"Clinton, MD",Maryland,Black,DeMatha,"Hyattsville, MD",Maryland,0,NO,1,NO
Steelers,21,"Golden, Robert",Robert,Golden,S,71,202,24,9/13/90,3,Arizona,481667,"Fresno, CA",California,Black,"Edison (Fresno, CA)","Fresno, CA",California,0,NO,1,NO
Saints,39,"Cadet, Travaris",Travaris,Cadet,RB,73,210,25,2/1/89,3,Appalachian State,481667,"Miami, FL",Florida,Black,"Central (Miami, FL)","Miami, FL",Florida,0,NO,1,NO
Packers,28,"Richardson, Sean",Sean,Richardson,S,74,216,24,1/21/90,3,Vanderbilt,481667,"Fort Campbell, TN",Tennessee,Black,"Linden (Linden, AL)","Linden, AL",Alabama,0,NO,1,NO
Jets,94,"Harrison, Damon",Damon,Harrison,NT,76,350,25,11/29/88,3,William Penn,482333,"Westlake, LA",Louisiana,Black,Lake Charles Boston Academy,"Lake Charles, LA",Louisiana,0,NO,1,NO
Buccaneers,29,"Johnson, Leonard",Leonard,Johnson,CB,70,202,24,3/30/90,3,Iowa State,482500,"Clearwater, FL",Florida,Black,"Largo (Largo, FL)","Largo, FL",Florida,0,NO,1,NO
Steelers,41,"Blake, Antwon",Antwon,Blake,CB,69,198,24,8/8/90,3,Texas-El Paso,482500,"Jacksonville, FL",Florida,Black,"Marshall (Missouri City, TX)","Missouri City, TX",Texas,0,NO,2,NO
Cowboys,65,"Leary, Ronald",Ronald,Leary,G,75,318,25,4/29/89,2,Memphis,483000,"Baton Rouge, LA",Louisiana,Black,Southern University Lab,"Baton Rouge, LA",Louisiana,0,NO,1,NO
Cardinals,79,"Sowell, Bradley",Bradley,Sowell,T,79,315,25,6/6/89,3,Mississippi,483333,"Hernando, MS",Mississippi,White,Hernando,"Hernando, MS",Mississippi,0,NO,3,NO
Raiders,80,"Streater, Rod",Rod,Streater,WR,75,200,26,2/9/88,3,Temple,483333,"Burlington, NJ",New Jersey,Black,Burlington Township,"Burlington Township, NJ",New Jersey,0,NO,1,NO
Dolphins,79,"Shelby, Derrick",Derrick,Shelby,DE,74,282,25,3/4/89,3,Utah,483333,"Houston, TX",Texas,Black,Hightower,"Missouri City, TX",Texas,0,NO,1,NO
Rams,6,"Hekker, Johnny",Johnny,Hekker,P,77,236,24,2/8/90,3,Oregon State,483333,"Redmond, WA",Washington,White,Bothell,"Bothell, WA",Washington,1,NO,1,NO
Broncos,53,"Johnson, Steven",Steven,Johnson,LB,73,237,26,3/28/88,3,Kansas,484000,"Media, PA",Pennsylvania,Black,Strath Haven,"Wallingford, PA",Pennsylvania,0,NO,1,NO
Patriots,38,"Bolden, Brandon",Brandon,Bolden,RB,71,220,24,1/26/90,3,Mississippi,484584,"Baton Rouge, LA",Louisiana,Black,Scotlandville Magnet,"Baton Rouge, LA",Louisiana,0,NO,1,NO
Texans,13,"Johnson, Damaris",Damaris,Johnson,WR,68,175,24,11/22/89,3,Tulsa,485000,"Norco, LA",Louisiana,Black,Destrehan,"Destrehan, LA",Louisiana,0,NO,2,NO
Titans,48,"Brinkley, Beau",Beau,Brinkley,LS,76,248,24,1/25/90,3,Missouri,486667,"Kansas City, MO",Missouri,White,Kearney,"Kearney, MO",Missouri,0,NO,1,NO
Colts,50,"Freeman, Jerrell",Jerrell,Freeman,LB,72,240,28,5/1/86,3,Mary Hardin-Baylor,486667,"Waco, TX",Texas,Black,"University (Waco, TX)","Waco, TX",Texas,0,NO,2,NO
Lions,17,"Moore, Kellen",Kellen,Moore,QB,72,200,25,7/12/89,3,Boise State,486667,"Prosser, WA",Washington,White,Prosser,"Prosser, WA",Washington,0,NO,1,NO
Raiders,73,"McCants, Matt",Matt,McCants,T,77,309,25,8/18/89,2,Alabama-Birmingham,495000,"Mobile, AL",Alabama,Black,Williamson,"Mobile, AL",Alabama,0,NO,2,NO
Bills,57,"Powell, Ty",Ty,Powell,LB,74,249,26,4/27/88,2,Harding,495000,"Marina, CA",California,Black,Jay,"Jay, OK",Oklahoma,0,NO,3,NO
Raiders,95,"Mayowa, Benson",Benson,Mayowa,DE,75,252,23,8/3/91,2,Idaho,495000,"Inglewood, CA",California,Black,Inglewood,"Inglewood, CA",California,0,1,1,NO
Seahawks,40,"Coleman, Derrick",Derrick,Coleman,FB,72,233,23,10/18/90,3,UCLA,495000,"Los Angeles, CA",California,Black,Troy,"Fullerton, CA",California,0,1,2,NO
Ravens,11,"Aiken, Kamar",Kamar,Aiken,WR,74,215,25,5/30/89,2,Central Florida,495000,"Hollywood, FL",Florida,Black,Chaminade-Madonna,"Hollywood, FL",Florida,0,NO,4,NO
Rams,50,"Armstrong, Ray-Ray",Ray-Ray,Armstrong,LB,75,234,23,3/5/91,2,Miami (FL),495000,"Sanford, FL",Florida,Black,"Seminole (Sanford, FL)","Sanford, FL",Florida,0,NO,1,NO
Jets,15,"Hakim, Saalim",Saalim,Hakim,WR,71,188,24,2/1/90,2,Palomar Coll. CA (J.C.),495000,"Atlanta, GA",Georgia,Black,Palo Verde,"Las Vegas, NV",Nevada,0,NO,3,NO
Ravens,28,"Trawick, Brynden",Brynden,Trawick,S,74,225,24,12/23/89,2,Troy,495000,"Marietta, GA",Georgia,Black,Sprayberry,"Marietta, GA",Georgia,0,NO,1,NO
Panthers,86,"Williams, Brandon",Brandon,Williams,TE,76,250,26,10/12/87,2,Oregon,495000,"Chicago, IL",Illinois,Black,"Eisenhower (Blue Island, IL)","Blue Island, IL",Illinois,0,NO,1,NO
Ravens,41,"Levine, Anthony",Anthony,Levine,S,71,203,27,3/27/87,3,Tennessee State,495000,"Abbeville, LA",Louisiana,Black,RJ Reynolds,"Abbevill, LA",Louisiana,0,2,2,NO
Raiders,31,"Thorpe, Neiko",Neiko,Thorpe,CB,73,200,24,2/1/90,2,Auburn,495000,"Southfield, MI",Michigan,Black,Tucker,"Tucker, GA",Georgia,0,NO,2,NO
Bills,15,"Hogan, Chris",Chris,Hogan,WR,73,220,25,10/24/88,2,Monmouth,495000,"Ramapo, NJ",New Jersey,White,Ramapo,"Ramapo, NJ",New Jersey,0,NO,4,NO
Patriots,72,"Vellano, Joe",Joe,Vellano,DT,74,300,25,10/30/88,2,Maryland,495000,"Rexford, NY",New York,Hispanic,"Christian Brothers (Albany, NY)","Albany, NY",New York,0,NO,1,NO
Saints,13,"Morgan, Joseph",Joseph,Morgan,WR,73,184,26,3/23/88,4,Walsh,495000,"Canton, OH",Ohio,Black,Canton McKinley,"Canton, OH",Ohio,0,NO,1,NO
Bills,96,"Charles, Stefan",Stefan,Charles,DT,77,323,26,6/9/88,2,Regina,495000,"Oshawa, Ontario",Ontario,Black,Eastdale Collegiate & Vocational Institute,"Oshawa, ON",Canada,0,NO,1,NO
Broncos,54,"Marshall, Brandon",Brandon,Marshall,LB,73,238,30,3/23/84,2,Nevada,495000,"Pittsburgh, PA",Pennsylvania,Black,Lake Howell,"Winter Park, FL",Florida,5,NO,2,NO
Raiders,14,"McGloin, Matt",Matt,McGloin,QB,73,210,25,2/2/89,2,Penn State,495000,"Scranton, PA",Pennsylvania,White,West Scranton,"Scranton, PA",Pennsylvania,0,NO,1,NO
Jets,4,"Quigley, Ryan",Ryan,Quigley,P,75,188,24,1/26/90,2,Boston College,495000,"Little River, SC",South Carolina,White,North Myrtle Beach,"Little River, SC",South Carolina,0,NO,2,NO
Packers,86,"Bostick, Brandon",Brandon,Bostick,TE,75,250,25,5/3/89,2,Newberry College,495000,"Florence, SC",South Carolina,Black,West,"Florence, SC",South Carolina,0,NO,1,NO
Rams,53,"Bates, Daren",Daren,Bates,LB,71,225,23,11/27/90,2,Auburn,495000,"Memphis, TN",Tennessee,Black,DeSoto County Schools,"Hernando, MI",Mississippi,0,NO,1,NO
Panthers,43,"Whittaker, Fozzy",Fozzy,Whittaker,RB,70,205,25,2/2/89,2,Texas,495000,"Houston, TX",Texas,Black,Pearland,"Pearland, TX",Texas,0,NO,4,NO
Buccaneers,46,"Lane, Jorvorskie",Jorvorskie,Lane,FB,71,258,27,2/4/87,2,Texas A&M,495000,"Lufkin, TX",Texas,Black,Lufkin,"Lufkin, TX",Texas,0,NO,2,NO
Rams,38,"Davis, Cody",Cody,Davis,S,73,206,25,6/6/89,2,Texas Tech,495000,"Stephenville, TX",Texas,White,Stephenville,"Stephenville, TX",Texas,0,NO,1,NO
Jaguars,12,"Brown, Mike",Mike,Brown,WR,70,200,25,2/9/89,2,Liberty,495000,"Charlottesville, VA",Virginia,Black,Monticello,"Charlottesville, VA",Virginia,0,NO,1,NO
Patriots,84,"Tyms, Brian",Brian,Tyms,WR,75,204,25,2/21/89,1,Florida A&M,495000,"Kent, WA",Washington,Black,Dillard,"Fort Lauderdale, FL",Florida,0,NO,4,NO
Saints,65,"Kelemete, Senio",Senio,Kelemete,G,75,300,24,5/10/90,2,Washington,495000,"Seattle, WA",Washington,Asian/Pacific Islander,Evergreen,"Seattle, WA",Washington,0,NO,2,NO
